image,well,dapi_n,neuron,CELLNUMBERSEEDED,hydrogen_peroxide,neuron_n,axon_seg_count,axon_seg_area,axon_seg_av_size,per_neuron_axon_seg_count,per_neuron_axon_seg_area
2020-018,B03,13702,STR,NA,0,21,5207,71354,13.703,247.95238095238096,3397.809523809524
2020-018,B04,14867,STR,NA,0,24,4698,56096,11.94,195.75,2337.3333333333335
2020-018,B05,8592,XII,NA,0,19,1714,50552,29.494,90.21052631578948,2660.6315789473683
2020-018,B06,9536,XII,NA,0,4,1339,18448,13.777,334.75,4612
2020-018,B07,8283,XII,NA,0,14,393,12261,31.198,28.071428571428573,875.7857142857143
2020-018,B08,10843,XII,NA,0,12,393,12681,32.267,32.75,1056.75
2020-018,B09,10366,DMV,NA,0,196,40783,1706488,41.843,208.0765306122449,8706.57142857143
2020-018,B10,10375,DMV,NA,0,177,39266,1575281,40.118,221.8418079096045,8899.892655367232
2020-018,B11,9468,DMV,NA,0,205,43586,1725805,39.595,212.61463414634147,8418.560975609756
2020-018,B12,10237,DMV,NA,0,130,35920,1547318,43.077,276.3076923076923,11902.446153846155
2020-018,C01,13357,STR,NA,100,24,3687,54565,14.799,153.625,2273.5416666666665
2020-018,C02,12529,STR,NA,100,32,2458,28740,11.692,76.8125,898.125
2020-018,C03,13069,STR,NA,100,27,2832,26988,9.53,104.88888888888889,999.5555555555555
2020-018,C04,12907,STR,NA,100,42,3396,33682,9.918,80.85714285714286,801.952380952381
2020-018,C05,8985,XII,NA,100,4,813,6114,7.52,203.25,1528.5
2020-018,C06,9308,XII,NA,100,5,202,3749,18.559,40.4,749.8
2020-018,C07,9380,XII,NA,100,4,867,11532,13.301,216.75,2883
2020-018,C08,9893,XII,NA,100,11,676,8279,12.247,61.45454545454545,752.6363636363636
2020-018,C09,10121,DMV,NA,100,160,38483,1070194,27.81,240.51875,6688.7125
2020-018,C10,10361,DMV,NA,100,150,37836,1034211,27.334,252.24,6894.74
2020-018,C11,9514,DMV,NA,100,127,39259,1033446,26.324,309.12598425196853,8137.370078740158
2020-018,C12,9594,DMV,NA,100,132,30979,975786,31.498,234.68939393939394,7392.318181818182
2020-018,D01,13045,STR,NA,100,23,2853,28480,9.982,124.04347826086956,1238.2608695652175
2020-018,D02,12504,STR,NA,100,15,3173,29464,9.286,211.53333333333333,1964.2666666666667
2020-018,D03,13589,STR,NA,100,32,3003,28522,9.498,93.84375,891.3125
2020-018,D04,12461,STR,NA,100,41,2201,31513,14.318,53.68292682926829,768.609756097561
2020-018,D05,9262,XII,NA,100,16,750,17616,23.488,46.875,1101
2020-018,D06,8689,XII,NA,100,5,257,1420,5.525,51.4,284
2020-018,D07,8640,XII,NA,100,17,621,12754,20.538,36.529411764705884,750.2352941176471
2020-018,D08,8517,XII,NA,100,9,444,4847,10.917,49.333333333333336,538.5555555555555
2020-018,D09,10003,DMV,NA,100,159,39518,1184928,29.985,248.54088050314465,7452.377358490566
2020-018,D10,9385,DMV,NA,100,119,31866,924189,29.002,267.781512605042,7766.294117647059
2020-018,D11,8964,DMV,NA,100,93,46923,1064497,22.686,504.5483870967742,11446.20430107527
2020-018,D12,9379,DMV,NA,100,115,35328,821036,23.24,307.2,7139.44347826087
2020-018,E01,11915,STR,NA,150,32,1685,27056,16.057,52.65625,845.5
2020-018,E02,12318,STR,NA,150,22,2173,16783,7.723,98.77272727272727,762.8636363636364
2020-018,E03,12711,STR,NA,150,14,2170,20263,9.338,155,1447.357142857143
2020-018,E04,12891,STR,NA,150,13,2217,17818,8.037,170.53846153846155,1370.6153846153845
2020-018,E05,8496,XII,NA,150,10,777,4818,6.201,77.7,481.8
2020-018,E06,9628,XII,NA,150,3,490,2848,5.812,163.33333333333334,949.3333333333334
2020-018,E07,9088,XII,NA,150,10,639,17911,28.03,63.9,1791.1
2020-018,E08,8960,XII,NA,150,4,473,3270,6.913,118.25,817.5
2020-018,E09,8441,DMV,NA,150,117,24131,581794,24.11,206.24786324786325,4972.598290598291
2020-018,E10,8354,DMV,NA,150,95,26349,595519,22.601,277.3578947368421,6268.621052631579
2020-018,E11,8598,DMV,NA,150,105,18736,543034,28.983,178.43809523809523,5171.752380952381
2020-018,E12,8265,DMV,NA,150,112,24477,581609,23.761,218.54464285714286,5192.9375
2020-018,F01,11801,STR,NA,150,17,2005,15992,7.976,117.94117647058823,940.7058823529412
2020-018,F02,12454,STR,NA,150,33,3710,31633,8.526,112.42424242424242,958.5757575757576
2020-018,F03,12422,STR,NA,150,17,2686,22050,8.209,158,1297.0588235294117
2020-018,F04,12752,STR,NA,150,13,2761,19748,7.152,212.3846153846154,1519.076923076923
2020-018,F05,7907,XII,NA,150,8,184,889,4.832,23,111.125
2020-018,F06,8325,XII,NA,150,7,653,5835,8.936,93.28571428571429,833.5714285714286
2020-018,F07,7182,XII,NA,150,5,150,1287,8.58,30,257.4
2020-018,F08,8444,XII,NA,150,3,169,2659,15.734,56.333333333333336,886.3333333333334
2020-018,F09,8274,DMV,NA,150,121,32447,607628,18.727,268.1570247933884,5021.719008264463
2020-018,F10,7719,DMV,NA,150,70,22562,473529,20.988,322.3142857142857,6764.7
2020-018,F11,9605,DMV,NA,150,124,33291,1164160,34.969,268.4758064516129,9388.387096774193
2020-018,F12,9290,DMV,NA,150,130,35588,1028239,28.893,273.75384615384615,7909.530769230769
2020-018,G01,12074,STR,NA,200,25,2422,21123,8.721,96.88,844.92
2020-018,G02,12461,STR,NA,200,14,2588,22312,8.621,184.85714285714286,1593.7142857142858
2020-018,G03,13168,STR,NA,200,19,2722,24194,8.888,143.26315789473685,1273.3684210526317
2020-018,G04,11622,STR,NA,200,36,2571,26231,10.203,71.41666666666667,728.6388888888889
2020-018,G05,7210,XII,NA,200,6,240,1412,5.883,40,235.33333333333334
2020-018,G06,8779,XII,NA,200,5,731,5651,7.731,146.2,1130.2
2020-018,G07,10182,XII,NA,200,8,572,11110,19.423,71.5,1388.75
2020-018,G08,9503,XII,NA,200,10,865,10004,11.565,86.5,1000.4
2020-018,G09,9307,DMV,NA,200,142,36954,846955,22.919,260.23943661971833,5964.471830985915
2020-018,G10,5328,DMV,NA,200,25,5280,105890,20.055,211.2,4235.6
2020-018,G11,5842,DMV,NA,200,78,12984,295896,22.789,166.46153846153845,3793.5384615384614
2020-018,G12,6008,DMV,NA,200,43,7940,136422,17.182,184.65116279069767,3172.6046511627906
2020-018,H01,12169,STR,NA,200,18,1730,16454,9.511,96.11111111111111,914.1111111111111
2020-018,H02,10918,STR,NA,200,21,1439,16465,11.442,68.52380952380952,784.047619047619
2020-018,H03,9240,STR,NA,200,13,1237,15134,12.234,95.15384615384616,1164.1538461538462
2020-018,H04,8859,STR,NA,200,3,565,3851,6.816,188.33333333333334,1283.6666666666667
2020-018,H05,4809,XII,NA,200,2,124,493,3.976,62,246.5
2020-018,H06,5010,XII,NA,200,7,129,1777,13.775,18.428571428571427,253.85714285714286
2020-018,H07,4152,XII,NA,200,2,29,159,5.483,14.5,79.5
2020-018,H08,4876,XII,NA,200,1,171,622,3.637,171,622
2020-018,H09,5944,DMV,NA,200,27,6620,91589,13.835,245.1851851851852,3392.185185185185
2020-018,H10,5511,DMV,NA,200,17,4709,65760,13.965,277,3868.235294117647
2020-018,H11,8025,DMV,NA,200,95,18208,493245,27.089,191.66315789473686,5192.0526315789475
2020-018,H12,8781,DMV,NA,200,105,21631,581000,26.86,206.0095238095238,5533.333333333333
2020-019,A01,5984,LC,6580,0,278,16702,357636,21.413,60.07913669064748,1286.4604316546763
2020-019,A02,4146,LC,6580,0,159,16390,318581,19.438,103.08176100628931,2003.6540880503144
2020-019,A03,4780,LC,6580,0,140,10250,224110,21.864,73.21428571428571,1600.7857142857142
2020-019,A04,5006,LC,6580,0,205,15120,380683,25.177,73.7560975609756,1856.990243902439
